# F/t	U	S
0.1	0.02	0.5
0.1	19.98	0.5
0.04878048780487805	0.02	0.5
0.04878048780487805	19.98	0.5
-0.0024390243902439046	0.02	0.5
-0.0024390243902439046	18.495625	0.5
-0.0024390243902439046	18.535625	1.5
-0.0024390243902439046	19.98	1.5
-0.053658536585365874	0.02	0.5
-0.053658536585365874	16.464375	0.5
-0.053658536585365874	16.504375	1.5
-0.053658536585365874	19.98	1.5
-0.10487804878048781	0.02	0.5
-0.10487804878048781	14.589375	0.5
-0.10487804878048781	14.629375	1.5
-0.10487804878048781	19.98	1.5
-0.15609756097560976	0.02	0.5
-0.15609756097560976	12.870625	0.5
-0.15609756097560976	12.910625	1.5
-0.15609756097560976	19.98	1.5
-0.20731707317073175	0.02	0.5
-0.20731707317073175	11.151875	0.5
-0.20731707317073175	11.191875	1.5
-0.20731707317073175	19.98	1.5
-0.25853658536585367	0.02	0.5
-0.25853658536585367	9.589375	0.5
-0.25853658536585367	9.629375	1.5
-0.25853658536585367	19.98	1.5
-0.30975609756097566	0.02	0.5
-0.30975609756097566	8.183125	0.5
-0.30975609756097566	8.223125	1.5
-0.30975609756097566	19.98	1.5
-0.36097560975609755	0.02	0.5
-0.36097560975609755	6.776875	0.5
-0.36097560975609755	6.816875	1.5
-0.36097560975609755	19.98	1.5
-0.41219512195121955	0.02	0.5
-0.41219512195121955	5.526875	0.5
-0.41219512195121955	5.566875	1.5
-0.41219512195121955	19.98	1.5
-0.46341463414634154	0.02	0.5
-0.46341463414634154	4.433125	0.5
-0.46341463414634154	4.473125	1.5
-0.46341463414634154	19.98	1.5
-0.5146341463414635	0.02	0.5
-0.5146341463414635	3.339375	0.5
-0.5146341463414635	3.379375	1.5
-0.5146341463414635	19.98	1.5
-0.5658536585365854	0.02	0.5
-0.5658536585365854	2.401875	0.5
-0.5658536585365854	2.441875	1.5
-0.5658536585365854	19.98	1.5
-0.6170731707317074	0.02	0.5
-0.6170731707317074	1.620625	0.5
-0.6170731707317074	1.660625	1.5
-0.6170731707317074	19.98	1.5
-0.6682926829268293	0.02	0.5
-0.6682926829268293	0.995625	0.5
-0.6682926829268293	1.035625	1.5
-0.6682926829268293	19.98	1.5
-0.7195121951219513	0.02	0.5
-0.7195121951219513	0.370625	0.5
-0.7195121951219513	0.410625	1.5
-0.7195121951219513	19.98	1.5
-0.7707317073170733	0.02	0.5
-0.7707317073170733	0.058124999999999996	0.5
-0.7707317073170733	0.098125	1.5
-0.7707317073170733	19.98	1.5
-0.8219512195121952	0.02	1.5
-0.8219512195121952	19.98	1.5
-0.8731707317073172	0.02	1.5
-0.8731707317073172	19.98	1.5
-0.9243902439024391	0.02	1.5
-0.9243902439024391	19.98	1.5
-0.9756097560975611	0.02	1.5
-0.9756097560975611	19.98	1.5
-1.026829268292683	0.02	0.5
-1.026829268292683	0.058124999999999996	0.5
-1.026829268292683	0.098125	1.5
-1.026829268292683	19.98	1.5
-1.078048780487805	0.02	0.5
-1.078048780487805	0.058124999999999996	0.5
-1.078048780487805	0.098125	1.5
-1.078048780487805	19.98	1.5
-1.129268292682927	0.02	0.5
-1.129268292682927	0.214375	0.5
-1.129268292682927	0.254375	1.5
-1.129268292682927	19.98	1.5
-1.1804878048780487	0.02	0.5
-1.1804878048780487	0.214375	0.5
-1.1804878048780487	0.254375	1.5
-1.1804878048780487	19.98	1.5
-1.2317073170731707	0.02	0.5
-1.2317073170731707	0.370625	0.5
-1.2317073170731707	0.410625	1.5
-1.2317073170731707	19.98	1.5
-1.2829268292682927	0.02	0.5
-1.2829268292682927	0.370625	0.5
-1.2829268292682927	0.410625	1.5
-1.2829268292682927	19.98	1.5
-1.3341463414634147	0.02	0.5
-1.3341463414634147	0.683125	0.5
-1.3341463414634147	0.723125	1.5
-1.3341463414634147	19.98	1.5
-1.3853658536585367	0.02	0.5
-1.3853658536585367	1.308125	0.5
-1.3853658536585367	1.348125	1.5
-1.3853658536585367	19.98	1.5
-1.4365853658536585	0.02	0.5
-1.4365853658536585	1.933125	0.5
-1.4365853658536585	1.973125	1.5
-1.4365853658536585	19.98	1.5
-1.4878048780487805	0.02	0.5
-1.4878048780487805	2.714375	0.5
-1.4878048780487805	2.754375	1.5
-1.4878048780487805	19.98	1.5
-1.5390243902439025	0.02	0.5
-1.5390243902439025	3.808125	0.5
-1.5390243902439025	3.848125	1.5
-1.5390243902439025	19.98	1.5
-1.5902439024390245	0.02	0.5
-1.5902439024390245	4.745625	0.5
-1.5902439024390245	4.785625	1.5
-1.5902439024390245	19.98	1.5
-1.6414634146341465	0.02	0.5
-1.6414634146341465	5.995625	0.5
-1.6414634146341465	6.035625	1.5
-1.6414634146341465	19.98	1.5
-1.6926829268292682	0.02	0.5
-1.6926829268292682	7.245625	0.5
-1.6926829268292682	7.285625	1.5
-1.6926829268292682	19.98	1.5
-1.7439024390243902	0.02	0.5
-1.7439024390243902	8.651875	0.5
-1.7439024390243902	8.691875	1.5
-1.7439024390243902	19.98	1.5
-1.7951219512195122	0.02	0.5
-1.7951219512195122	10.214375	0.5
-1.7951219512195122	10.254375	1.5
-1.7951219512195122	19.98	1.5
-1.8463414634146342	0.02	0.5
-1.8463414634146342	11.776875	0.5
-1.8463414634146342	11.816875	1.5
-1.8463414634146342	19.98	1.5
-1.8975609756097562	0.02	0.5
-1.8975609756097562	13.495625	0.5
-1.8975609756097562	13.535625	1.5
-1.8975609756097562	19.98	1.5
-1.948780487804878	0.02	0.5
-1.948780487804878	15.370625	0.5
-1.948780487804878	15.410625	1.5
-1.948780487804878	19.98	1.5
-2.0	0.02	0.5
-2.0	17.245625	0.5
-2.0	17.285625	1.5
-2.0	19.98	1.5
